date,name,size,density
2015-12,Promus.Ventures,3,1.0
2014-10,Promus.Ventures,5,1.0
2015-04,Promus.Ventures,5,1.0
2014-08,Promus.Ventures,0,0.0
2016-03,Promus.Ventures,9,0.5555555555555556
2015-08,Promus.Ventures,7,1.0
2016-02,Promus.Ventures,0,0.0
2015-09,SR.One,0,0.0
2015-11,SR.One,0,0.0
2015-01,SR.One,0,0.0
2014-12,SR.One,1,1.0
2015-05,SR.One,0,0.0
2015-07,SR.One,3,1.0
2015-03,SR.One,2,1.0
2016-05,SR.One,0,0.0
2016-01,SR.One,0,0.0
2016-04,SR.One,1,1.0
2014-11,SR.One,0,0.0
2015-06,SR.One,1,1.0
2016-06,SR.One,3,0.6666666666666666
2015-10,SR.One,0,0.0
2014-09,SR.One,0,0.0
2015-02,SR.One,0,0.0
2016-07,SR.One,0,0.0
2015-12,SR.One,8,0.4444444444444444
2014-10,SR.One,1,1.0
2015-04,SR.One,6,0.47619047619047616
2014-08,SR.One,0,0.0
2016-03,SR.One,0,0.0
2015-08,SR.One,0,0.0
2016-02,SR.One,3,0.6666666666666666
2015-09,Institutional.Venture.Partners,13,0.3974358974358974
2015-11,Institutional.Venture.Partners,0,0.0
2015-01,Institutional.Venture.Partners,4,0.7
2014-12,Institutional.Venture.Partners,9,0.4222222222222222
2015-05,Institutional.Venture.Partners,11,0.8484848484848485
2015-07,Institutional.Venture.Partners,4,0.7
2015-03,Institutional.Venture.Partners,8,0.5555555555555556
2016-05,Institutional.Venture.Partners,4,1.0
2016-01,Institutional.Venture.Partners,10,0.4727272727272727
2016-04,Institutional.Venture.Partners,3,1.0
2014-11,Institutional.Venture.Partners,0,0.0
2015-06,Institutional.Venture.Partners,14,0.6
2016-06,Institutional.Venture.Partners,1,1.0
2015-10,Institutional.Venture.Partners,3,1.0
2014-09,Institutional.Venture.Partners,2,1.0
2015-02,Institutional.Venture.Partners,6,0.7619047619047619
2016-07,Institutional.Venture.Partners,0,0.0
2015-12,Institutional.Venture.Partners,0,0.0
2014-10,Institutional.Venture.Partners,4,1.0
2015-04,Institutional.Venture.Partners,10,0.6545454545454545
2014-08,Institutional.Venture.Partners,6,0.5714285714285714
2016-03,Institutional.Venture.Partners,3,1.0
2015-08,Institutional.Venture.Partners,4,0.6
2016-02,Institutional.Venture.Partners,0,0.0
2015-09,Cowboy.Ventures,8,0.8055555555555556
2015-11,Cowboy.Ventures,3,1.0
2015-01,Cowboy.Ventures,12,0.6153846153846154
2014-12,Cowboy.Ventures,3,1.0
2015-05,Cowboy.Ventures,3,1.0
2015-07,Cowboy.Ventures,2,1.0
2015-03,Cowboy.Ventures,3,1.0
2016-05,Cowboy.Ventures,3,1.0
2016-01,Cowboy.Ventures,4,1.0
2016-04,Cowboy.Ventures,0,0.0
2014-11,Cowboy.Ventures,4,0.6
2015-06,Cowboy.Ventures,0,0.0
2016-06,Cowboy.Ventures,0,0.0
2015-10,Cowboy.Ventures,5,0.6666666666666666
2014-09,Cowboy.Ventures,7,0.5238095238095238
2015-02,Cowboy.Ventures,8,0.3888888888888889
2016-07,Cowboy.Ventures,0,0.0
2015-12,Cowboy.Ventures,4,0.6
2014-10,Cowboy.Ventures,7,1.0
2015-04,Cowboy.Ventures,3,1.0
2014-08,Cowboy.Ventures,10,0.7090909090909091
2016-03,Cowboy.Ventures,0,0.0
2015-08,Cowboy.Ventures,5,0.6
2016-02,Cowboy.Ventures,1,1.0
2015-09,Great.Oaks.Venture.Capital,13,0.6538461538461539
2015-11,Great.Oaks.Venture.Capital,18,0.28104575163398693
2015-01,Great.Oaks.Venture.Capital,16,0.3897058823529412
2014-12,Great.Oaks.Venture.Capital,44,0.2319327731092437
2015-05,Great.Oaks.Venture.Capital,23,0.2727272727272727
2015-07,Great.Oaks.Venture.Capital,6,0.5714285714285714
2015-03,Great.Oaks.Venture.Capital,19,0.3684210526315789
2016-05,Great.Oaks.Venture.Capital,5,1.0
2016-01,Great.Oaks.Venture.Capital,0,0.0
2016-04,Great.Oaks.Venture.Capital,3,1.0
2014-11,Great.Oaks.Venture.Capital,32,0.221505376344086
2015-06,Great.Oaks.Venture.Capital,16,0.4632352941176471
2016-06,Great.Oaks.Venture.Capital,0,0.0
2015-10,Great.Oaks.Venture.Capital,14,0.38095238095238093
2014-09,Great.Oaks.Venture.Capital,20,0.24285714285714285
2015-02,Great.Oaks.Venture.Capital,22,0.24675324675324675
2016-07,Great.Oaks.Venture.Capital,0,0.0
2015-12,Great.Oaks.Venture.Capital,0,0.0
2014-10,Great.Oaks.Venture.Capital,9,0.3611111111111111
2015-04,Great.Oaks.Venture.Capital,11,0.36363636363636365
2014-08,Great.Oaks.Venture.Capital,7,0.6428571428571429
2016-03,Great.Oaks.Venture.Capital,17,0.375
2015-08,Great.Oaks.Venture.Capital,0,0.0
2016-02,Great.Oaks.Venture.Capital,20,0.4619883040935672
2015-09,Foundry.Group,6,0.3333333333333333
2015-11,Foundry.Group,8,0.5277777777777778
2015-01,Foundry.Group,1,1.0
2014-12,Foundry.Group,8,0.4444444444444444
2015-05,Foundry.Group,10,0.43636363636363634
2015-07,Foundry.Group,6,0.7619047619047619
2015-03,Foundry.Group,7,0.42857142857142855
